,text,grade,date
0,"Service électricité très bien mais si…
Service électricité très bien mais si vous avez un surplus de règlement ça se complique.
Le mot le plus employé par les services patience 🤢🤢🤢
C'est pas un service comptable qu ils ont à priori mais plutôt une usine à gaz...
Franchement j'ai les nerfs de faire la trésorerie de Total
Date de l'expérience: 03 février 2023",1,Il y a 9 heures
1,"Honteux
Honteux, si je pouvais mettre zéro ils le mériteraient.
Quand on les appel et qu'on appuie sur l'option parler avec un agent, dans la seconde ça raccroche automatiquement! Donc impossibilité de parler avec un agent !!
Par contre si vous n'êtes pas client, ils seront bien la pour vous répondre et dans les secondes!! Tout pour le fric et nouveaux clients mais rien pour leurs clients!
Date de l'expérience: 02 février 2023",1,Il y a un jour
2,"incompréhension avec le service client…
incompréhension avec le service client au sujet d’augmentation de l’électricité de 3,77% en janvier alors que le prix est encore bloqué jusqu’au 1er février et de 16,83% pour le gaz en janvier alors que le gouvernement n'a autorisé que 15% d’augmentation.
J’ai juste l’impression qu’on ne parle pas la même langue. La personne s’est retranché derrière le service facturation en me disant que c’est ce service qui fait les factures. Elle n’a aucune explication valable à me donner. En clair c’est pas sa faute.
Date de l'expérience: 01 février 2023",1,ll y a 2 jours
3,"très satisfaite
En souscrivant en ligne je voulais avoir des renseignements avec un conseiller. En téléphonant je suis tomber sur une conseillère vraiment gentille et m'a aider à refaire mon dossier. Elle a répondu aux questions que je lui poser.
Date de l'expérience: 31 janvier 2023",5,Il y a un jour
4,"Très bonne application
Très bonne application, j'ai accès à ma consommation en temps réel et j'ai toujours un conseiller assez rapidement au téléphone en cas de besoin. Sur l'application, il manque 2 choses cependant : - Une capacité à simuler une consommation de gaz et anticiper le montant de la facture - Une traduction plus facile entre les unités de consommation de gaz et les euros.
Date de l'expérience: 29 janvier 2023",5,ll y a 5 jours
5,"J'ai toujours était fidèle et…
J'ai toujours était fidèle et respectueux depuis plus de 10 ans, je traverse 2 mois difficiles et je me fait coupé le courant en boucle pendant mes heures creuse. C'est pitoyable, je vie à la montagne il fait 8 degré dans mon logement.
Date de l'expérience: 30 janvier 2023",1,ll y a 4 jours
6,"N'allez jamais chez totalenergie !!
N'allez jamais chez totalenergie !!! Ce sont de menteurs et des escros !! Service client pourri! Je n'ai pas d'électricité depuis des jours, samedi on m'est dit que ce sera fonctionnel dès le dimanche matin et bien nooon, c'est de la mensonge ! je reste tout le weekend sans l'électricité avec un enfant en bas âge ! Merci totalenergie pour être aussi nuls et incompétents !!
Date de l'expérience: 29 janvier 2023",1,ll y a 6 jours
7,"Je recommande
Cela fait 5 ans que je suis chez eux (électricité) et je trouve le service plutôt bon.
J'ai effectué un déménagement et tout c'est bien passé, rapide et sans problème.
J'ai eu un soucis avant qu'on me mette un compteur Linky mais j'ai été satisfait de la résolution de celui ci.

Je recommande !
Date de l'expérience: 27 janvier 2023",4,27 janv. 2023
8,"Efficacité
Efficacité, rapidité,tout ça pour un branchement d'un Linky en moins de 24 h et par téléphone ! Merci à tout l'équipe !
Date de l'expérience: 01 février 2023",5,Il y a 11 heures
9,"A fuire
A fuire, grosse arnaque!!!!
On souscrit un contrat avec le conseiller qui nous indique un kW/h a 21 centimes. On signe ce contrat sans trouver le prix du kW/h qui est dans un tout petit tableau du contrat a la fin et finalement on est facturé a 53 centimes.
Même le service client nous a confirmer que notre prix était de 21 centimes sauf que sur la facture de clôture, le prix était de 53.
Date de l'expérience: 01 octobre 2022",1,25 janv. 2023
