,text,grade,date
0,"Catastrophe énergétique
Première souscription avec eux en 2021 :
pour la première année aucune régularisation en 2022 à faire montant annuel 880 euros
deuxième année 2022 facture de régularisation en 2023 de 1137 euros pour un montant total de consommation de 1880 euros.
J'ai essayé de vérifier ma consommation sur mon espace client, je remarque que les données affichées ne sont pas cohérentes (dans un mois de l'année j'étais en vacances, il n'y avait personne à la maison et tout les appareils était éteints).

J'ai appelé le service client le 01/02/2023 pour avoir des explications, la conseillère me dis qu'elle n'a pas plus de visibilité sur mon dossier, elle a demandé l'intervention d'un autre service qui au jour d'aujourd'hui ne m'a pas rappelé.

Une catastrophe totale, je regrette d'avoir choisi ENI
Date de l'expérience: 03 février 2023",1,Il y a 5 heures
1,"Augmentation du prix de kWh X3
Augmentation du prix de kWh X3.
Les 4 derniers mois équivalent à 1an de consommation habituelle.
Aucune communication de l'entreprise. Impossible de les avoirs au téléphone et aucunes réponses au mail.
Un recours est lancé par recommandé et le médiateur de l'énergie sera mandaté au besoin.
Pire entreprise d'énergie.
Fuyez !
Date de l'expérience: 24 janvier 2023",1,ll y a 4 jours
2,"BRAQUEURS ENI
Simplement : échéancier 2022 : 29.22€/mois pour 1300 kwh annuel
Régularisation : - 1.62 €

Échéancier 2023 : 85.73€ / mois pour 1400 kwh annuel
Régularisation : + 129 €
+ 200% !!!! Pourquoi eni ?!?!?!
- UKRAINE ; UKRAINE !
Ce n'est plus du vol c'est un braquage personnalisé. Prenez votre voiture, Votre famille et fuyez c'est une apocalypse Eni
Date de l'expérience: 26 janvier 2023",1,ll y a 6 jours
3,"Facture démentielle.
Facture démentielle.
Les prix ont augmenté de manière considérable sans explications. Appel auprès du service client dire que nous avons reçu un mail pour nous prévenir du changement de tarif (ce qui est bien vrai, mais dans les spams, sans titre ni message, juste un amat de documents sans nom). Ce changement serait donc dû à une fin de contrat d'engagement... Cela me semble douteux de passer de 0.12 ct à 0.62 ! De vrais voleurs ! À cause de la crise énergie ? Il ne faut pas exagérer !!!!
Cet appel nous a permis d'entendre qu'ils comprennent que ""ça peut-être dur de payer la facture pour de simples travailleurs"".
1000 euros pour 2 mois quand même !!!!!! ENI à fuir ! Des voleurs qui nous prennent de haut au téléphone.
Date de l'expérience: 31 janvier 2023",1,ll y a 4 jours
4,"A fuir !
Ayant un relevé tous les deux mois pour ma consommation réelle d'électricité, je passe d'un montant de 170€ a un montant de 460€ pour casi la même consommation de kwh.
Sans mails, sans courriers de leur part pour prévenir.
C'est une honte !.
Fuyez ENI.
Date de l'expérience: 08 janvier 2023",1,26 janv. 2023
5,"Escroquerie ENI
Je rejoins les derniers avis ci-dessous, ENI a multiplié par 5 le prix de son kwH sans aucun signalement convenable. Je pense que quand on vous réclame 6000€ d'électricité par an vous pouvez envoyer des recommandés pour prévenir vos clients... Pour information; la réponse du service client a été de me dire que ENI ne propose plus d'offre électricité seul, il cherche donc à nous dégager par des méthodes minables. Pour ma part c'est réussi mais je ne laisserais pas passer. Je vous invite tous à écrire au médiateur de l'énergie, site du gouvernent fait pour cela : chercher médiateur de l'énergie sur google ( on ne peut pas mettre de lien )
Date de l'expérience: 23 janvier 2023",1,23 janv. 2023
6,"Je lis beaucoup de contestation sur les…
Je lis beaucoup de contestation sur les services de la société ENI . Je suis moi aussi victime de leur méthode de changement de prix sans avoir été prévenu. Bien sur ils me disent que les courrier ont bien été envoyés et que ce n'est pas leur faute si je ne les ai pas reçu. Je suis prélevé de 1000 euros pour 4 mois pour l'appartement d étudiant de mon fils de 20M3 ! qui serait intéressé pour monter un dossier avec moi pour dénoncer les pratiques douteuses ? Je suis disponible a dhoutautph @gmail.com
Date de l'expérience: 18 janvier 2023",1,18 janv. 2023
7,"Arnaque lors de la résiliation
Suite à un déménagement, notre fille étudiante a résilié son contrat de gaz et d’électricité en mai 2022 sur son espace client, comme ENI lui avait préalablement recommandé de le faire au téléphone. Elle a reçu un accusé de réception de ENI pour cette résiliation. Mais les prélèvements automatiques ont continué jusqu’en août 2022, date à laquelle nous avons fait opposition à ces prélèvements, sur les conseils de notre banque. ENI nous a facturé dans la facture finale les abonnements de mai à août, et aussi des consommations d’électricité ! Nous avons pourtant fourni le constat d’état des lieux de sortie de l’appartement de mai établi par l’agence immobilière. L’agence immobilière nous a indiqué qu’elle avait reloué l’appartement à compter de fin juillet. Le service client d’ENI indique qu’il faut résilier le contrat sur l’espace client, PUIS qu’il faudrait confirmer dans un second temps la résiliation au téléphone, ce qui n’a jamais été dit à notre fille et que nous n’avons lu nulle part. Le problème n’est toujours pas réglé fin janvier 2023. ENI a transmis le dossier à France contentieux et nous nous sommes tournés vers l’association de défense des consommateurs “UFC-Que choisir”.
Nous aurions souhaité qu’ENI agisse de bonne foi, ce qui n’est pas le cas à ce jour.
Date de l'expérience: 30 janvier 2023",1,ll y a 4 jours
8,"A fuir
A fuir, ste qui multiplie le tarif par 5 sans prévenir, et vous sortent un mail bidon, disant que vous étiez prévenu.
Date de l'expérience: 26 janvier 2023",1,26 janv. 2023
9,"ENI est une CATASTROPHE
ENI est une CATASTROPHE, aucun suivi de dossier, ce sont des voleurs. Ils prélèvent des sommes exorbitantes sans aucune preuve, preuve qui par la suite a été falsifiée par leurs soins. C'est INADMISSIBLE.

Je déconseille vivement, nous n'avons eu que des ennuis avec eux du début à la fin. 8 mois pour nous ouvrir notre espace client afin que l'on puisse suivre notre consommation et arrêter de nous faire arnaquer.

A FUIR ABSOLUMENT

Même une fois résilié ils continuent de nous causer des problèmes, une HORREUR
Date de l'expérience: 11 janvier 2023",1,11 janv. 2023
